#           k/h    P           
    0.47343E-01    0.94423E+01
    0.48299E-01    0.92951E+01
    0.49275E-01    0.91538E+01
    0.50270E-01    0.90183E+01
    0.51286E-01    0.88883E+01
    0.52322E-01    0.87633E+01
    0.53379E-01    0.86431E+01
    0.54457E-01    0.85271E+01
    0.55557E-01    0.84147E+01
    0.56680E-01    0.83050E+01
    0.57825E-01    0.81974E+01
    0.58993E-01    0.80911E+01
    0.60184E-01    0.79850E+01
    0.61400E-01    0.78782E+01
    0.62641E-01    0.77697E+01
    0.63906E-01    0.76586E+01
    0.65197E-01    0.75438E+01
    0.66514E-01    0.74245E+01
    0.67858E-01    0.72999E+01
    0.69229E-01    0.71693E+01
    0.70627E-01    0.70320E+01
    0.72054E-01    0.68878E+01
    0.73510E-01    0.67365E+01
    0.74994E-01    0.65781E+01
    0.76509E-01    0.64130E+01
    0.78055E-01    0.62418E+01
    0.79632E-01    0.60652E+01
    0.81241E-01    0.58846E+01
    0.82882E-01    0.57010E+01
    0.84556E-01    0.55160E+01
    0.86264E-01    0.53313E+01
    0.88007E-01    0.51487E+01
    0.89785E-01    0.49698E+01
    0.91598E-01    0.47963E+01
    0.93449E-01    0.46300E+01
    0.95337E-01    0.44722E+01
    0.97263E-01    0.43241E+01
    0.99227E-01    0.41867E+01
    0.10123E+00    0.40605E+01
    0.10328E+00    0.39458E+01
    0.10536E+00    0.38423E+01
    0.10749E+00    0.37494E+01
    0.10966E+00    0.36661E+01
    0.11188E+00    0.35911E+01
    0.11414E+00    0.35225E+01
    0.11644E+00    0.34584E+01
    0.11880E+00    0.33965E+01
    0.12120E+00    0.33346E+01
    0.12365E+00    0.32705E+01
    0.12614E+00    0.32022E+01
    0.12869E+00    0.31281E+01
    0.13129E+00    0.30471E+01
    0.13394E+00    0.29589E+01
    0.13665E+00    0.28637E+01
    0.13941E+00    0.27626E+01
    0.14223E+00    0.26572E+01
    0.14510E+00    0.25498E+01
    0.14803E+00    0.24428E+01
    0.15102E+00    0.23388E+01
    0.15407E+00    0.22403E+01
    0.15718E+00    0.21492E+01
    0.16036E+00    0.20670E+01
    0.16360E+00    0.19944E+01
    0.16690E+00    0.19314E+01
    0.17028E+00    0.18770E+01
    0.17371E+00    0.18297E+01
    0.17722E+00    0.17873E+01
    0.18080E+00    0.17473E+01
    0.18446E+00    0.17073E+01
    0.18818E+00    0.16648E+01
    0.19198E+00    0.16181E+01
    0.19586E+00    0.15666E+01
    0.19982E+00    0.15103E+01
    0.20386E+00    0.14503E+01
    0.20797E+00    0.13886E+01
    0.21218E+00    0.13274E+01
    0.21646E+00    0.12690E+01
    0.22083E+00    0.12154E+01
    0.22530E+00    0.11677E+01
    0.22985E+00    0.11263E+01
    0.23449E+00    0.10904E+01
    0.23923E+00    0.10586E+01
    0.24406E+00    0.10291E+01
    0.24899E+00    0.99975E+00
    0.25402E+00    0.96899E+00
    0.25915E+00    0.93585E+00
    0.26439E+00    0.90031E+00
    0.26973E+00    0.86323E+00
    0.27518E+00    0.82606E+00
    0.28074E+00    0.79040E+00
    0.28641E+00    0.75756E+00
    0.29219E+00    0.72818E+00
    0.29810E+00    0.70212E+00
    0.30412E+00    0.67856E+00
    0.31026E+00    0.65626E+00
    0.31653E+00    0.63401E+00
    0.32292E+00    0.61102E+00
    0.32945E+00    0.58714E+00
    0.33610E+00    0.56288E+00
    0.34289E+00    0.53911E+00
    0.34982E+00    0.51668E+00
    0.35689E+00    0.49608E+00
    0.36409E+00    0.47728E+00
    0.37145E+00    0.45978E+00
    0.37895E+00    0.44289E+00
    0.38661E+00    0.42605E+00
    0.39442E+00    0.40910E+00
    0.40239E+00    0.39223E+00
    0.41052E+00    0.37589E+00
    0.41881E+00    0.36046E+00
    0.42727E+00    0.34607E+00
    0.43590E+00    0.33254E+00
    0.44471E+00    0.31955E+00
    0.45369E+00    0.30681E+00
    0.46286E+00    0.29426E+00
    0.47221E+00    0.28203E+00
    0.48174E+00    0.27032E+00
    0.49148E+00    0.25923E+00
    0.50141E+00    0.24871E+00
    0.51153E+00    0.23860E+00
    0.52187E+00    0.22879E+00
    0.53241E+00    0.21926E+00
    0.54317E+00    0.21007E+00
    0.55414E+00    0.20129E+00
    0.56533E+00    0.19291E+00
    0.57675E+00    0.18488E+00
    0.58840E+00    0.17713E+00
    0.60029E+00    0.16965E+00
    0.61242E+00    0.16247E+00
    0.62479E+00    0.15559E+00
    0.63741E+00    0.14900E+00
    0.65029E+00    0.14267E+00
    0.66342E+00    0.13659E+00
    0.67683E+00    0.13075E+00
    0.69050E+00    0.12514E+00
    0.70445E+00    0.11976E+00
    0.71868E+00    0.11461E+00
    0.73320E+00    0.10967E+00
    0.74801E+00    0.10493E+00
    0.76312E+00    0.10038E+00
    0.77854E+00    0.96021E-01
    0.79426E+00    0.91840E-01
    0.81031E+00    0.87833E-01
    0.82668E+00    0.83992E-01
    0.84338E+00    0.80311E-01
    0.86041E+00    0.76784E-01
    0.87780E+00    0.73405E-01
    0.89553E+00    0.70168E-01
    0.91362E+00    0.67068E-01
    0.93208E+00    0.64099E-01
    0.95091E+00    0.61256E-01
    0.97011E+00    0.58533E-01
    0.98971E+00    0.55927E-01
    0.10097E+01    0.53431E-01
    0.10301E+01    0.51043E-01
    0.10509E+01    0.48756E-01
    0.10721E+01    0.46568E-01
    0.10938E+01    0.44475E-01
    0.11159E+01    0.42472E-01
    0.11384E+01    0.40555E-01
    0.11614E+01    0.38722E-01
    0.11849E+01    0.36969E-01
    0.12088E+01    0.35293E-01
    0.12333E+01    0.33689E-01
    0.12582E+01    0.32156E-01
    0.12836E+01    0.30690E-01
    0.13095E+01    0.29289E-01
    0.13360E+01    0.27949E-01
    0.13630E+01    0.26669E-01
    0.13905E+01    0.25445E-01
    0.14186E+01    0.24276E-01
    0.14472E+01    0.23158E-01
    0.14765E+01    0.22091E-01
    0.15063E+01    0.21071E-01
    0.15367E+01    0.20096E-01
    0.15678E+01    0.19165E-01
    0.15994E+01    0.18276E-01
    0.16318E+01    0.17428E-01
    0.16647E+01    0.16617E-01
    0.16984E+01    0.15843E-01
    0.17327E+01    0.15104E-01
    0.17677E+01    0.14398E-01
    0.18034E+01    0.13724E-01
    0.18398E+01    0.13081E-01
    0.18770E+01    0.12468E-01
    0.19149E+01    0.11882E-01
    0.19536E+01    0.11323E-01
    0.19930E+01    0.10790E-01
    0.20333E+01    0.10281E-01
    0.20744E+01    0.97954E-02
    0.21163E+01    0.93322E-02
    0.21590E+01    0.88904E-02
    0.22026E+01    0.84689E-02
    0.22471E+01    0.80669E-02
    0.22925E+01    0.76836E-02
    0.23388E+01    0.73180E-02
    0.23861E+01    0.69694E-02
    0.24343E+01    0.66369E-02
