#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.608233E-02   0.397211E+06   0.394383E+06   0.292124E+05   0.332267E+05   0.109113E+06   0.393287E+06   0.396818E+06   0.393510E+06  -0.535106E+00   0.393924E+06   0.393509E+06   0.929714E+02
   0.615028E-02   0.396576E+06   0.393687E+06   0.287894E+05   0.327804E+05   0.107355E+06   0.392630E+06   0.396174E+06   0.392849E+06  -0.534159E+00   0.393258E+06   0.392834E+06   0.937751E+02
   0.621900E-02   0.395932E+06   0.392982E+06   0.284433E+05   0.323868E+05   0.105651E+06   0.391965E+06   0.395522E+06   0.392182E+06  -0.533203E+00   0.392584E+06   0.392152E+06   0.945838E+02
   0.628849E-02   0.395281E+06   0.392267E+06   0.281682E+05   0.320399E+05   0.103998E+06   0.391293E+06   0.394862E+06   0.391507E+06  -0.532240E+00   0.391902E+06   0.391462E+06   0.953973E+02
   0.635875E-02   0.394622E+06   0.391544E+06   0.279579E+05   0.317339E+05   0.102398E+06   0.390614E+06   0.394194E+06   0.390826E+06  -0.531268E+00   0.391212E+06   0.390763E+06   0.962157E+02
   0.642980E-02   0.393955E+06   0.390811E+06   0.278062E+05   0.314628E+05   0.100847E+06   0.389927E+06   0.393518E+06   0.390138E+06  -0.530289E+00   0.390514E+06   0.390056E+06   0.970390E+02
   0.650164E-02   0.393280E+06   0.390069E+06   0.277064E+05   0.312204E+05   0.993459E+05   0.389232E+06   0.392834E+06   0.389443E+06  -0.529301E+00   0.389808E+06   0.389341E+06   0.978672E+02
   0.657428E-02   0.392597E+06   0.389318E+06   0.276517E+05   0.310008E+05   0.978919E+05   0.388530E+06   0.392141E+06   0.388741E+06  -0.528305E+00   0.389094E+06   0.388619E+06   0.987004E+02
   0.664773E-02   0.391906E+06   0.388557E+06   0.276352E+05   0.307979E+05   0.964839E+05   0.387821E+06   0.391440E+06   0.388031E+06  -0.527301E+00   0.388373E+06   0.387888E+06   0.995385E+02
   0.672201E-02   0.391207E+06   0.387786E+06   0.276499E+05   0.306058E+05   0.951198E+05   0.387104E+06   0.390732E+06   0.387314E+06  -0.526288E+00   0.387643E+06   0.387148E+06   0.100382E+03
   0.679711E-02   0.390500E+06   0.387007E+06   0.276887E+05   0.304186E+05   0.937980E+05   0.386379E+06   0.390014E+06   0.386590E+06  -0.525266E+00   0.386906E+06   0.386401E+06   0.101230E+03
   0.687306E-02   0.389784E+06   0.386217E+06   0.277444E+05   0.302307E+05   0.925162E+05   0.385647E+06   0.389289E+06   0.385858E+06  -0.524236E+00   0.386160E+06   0.385646E+06   0.102083E+03
   0.694985E-02   0.389061E+06   0.385418E+06   0.278101E+05   0.300368E+05   0.912724E+05   0.384907E+06   0.388555E+06   0.385118E+06  -0.523197E+00   0.385407E+06   0.384882E+06   0.102940E+03
   0.702750E-02   0.388330E+06   0.384610E+06   0.278786E+05   0.298316E+05   0.900644E+05   0.384159E+06   0.387813E+06   0.384371E+06  -0.522149E+00   0.384646E+06   0.384110E+06   0.103803E+03
   0.710602E-02   0.387590E+06   0.383791E+06   0.279432E+05   0.296103E+05   0.888897E+05   0.383403E+06   0.387062E+06   0.383616E+06  -0.521092E+00   0.383876E+06   0.383331E+06   0.104671E+03
   0.718542E-02   0.386842E+06   0.382963E+06   0.279972E+05   0.293684E+05   0.877459E+05   0.382639E+06   0.386303E+06   0.382852E+06  -0.520026E+00   0.383099E+06   0.382543E+06   0.105544E+03
   0.726570E-02   0.386086E+06   0.382125E+06   0.280340E+05   0.291020E+05   0.866307E+05   0.381867E+06   0.385536E+06   0.382081E+06  -0.518950E+00   0.382314E+06   0.381747E+06   0.106422E+03
   0.734688E-02   0.385322E+06   0.381278E+06   0.280477E+05   0.288073E+05   0.855414E+05   0.381088E+06   0.384760E+06   0.381301E+06  -0.517865E+00   0.381520E+06   0.380942E+06   0.107304E+03
   0.742897E-02   0.384549E+06   0.380420E+06   0.280323E+05   0.284813E+05   0.844754E+05   0.380300E+06   0.383975E+06   0.380513E+06  -0.516770E+00   0.380719E+06   0.380130E+06   0.108192E+03
   0.751197E-02   0.383768E+06   0.379552E+06   0.279826E+05   0.281213E+05   0.834303E+05   0.379504E+06   0.383183E+06   0.379717E+06  -0.515665E+00   0.379910E+06   0.379309E+06   0.109084E+03
