#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.635875E-02   0.169789E+08   0.169742E+08  -0.717673E+04  -0.776711E+04   0.109695E+08   0.169275E+08   0.169781E+08   0.169275E+08  -0.392135E+00   0.841025E+07   0.841021E+07   0.225137E+01
   0.642980E-02   0.169423E+08   0.169374E+08  -0.770936E+04  -0.790681E+04   0.108951E+08   0.168905E+08   0.169415E+08   0.168905E+08  -0.391278E+00   0.839196E+07   0.839192E+07   0.226962E+01
   0.650164E-02   0.169053E+08   0.169004E+08  -0.762143E+04  -0.760756E+04   0.108206E+08   0.168532E+08   0.169045E+08   0.168532E+08  -0.390414E+00   0.837350E+07   0.837346E+07   0.228798E+01
   0.657428E-02   0.168680E+08   0.168629E+08  -0.688633E+04  -0.697587E+04   0.107458E+08   0.168156E+08   0.168672E+08   0.168156E+08  -0.389542E+00   0.835488E+07   0.835483E+07   0.230646E+01
   0.664773E-02   0.168303E+08   0.168252E+08  -0.576983E+04  -0.628102E+04   0.106710E+08   0.167776E+08   0.168295E+08   0.167776E+08  -0.388662E+00   0.833608E+07   0.833603E+07   0.232505E+01
   0.672201E-02   0.167923E+08   0.167871E+08  -0.471389E+04  -0.582177E+04   0.105960E+08   0.167392E+08   0.167915E+08   0.167392E+08  -0.387774E+00   0.831711E+07   0.831706E+07   0.234375E+01
   0.679711E-02   0.167540E+08   0.167486E+08  -0.413031E+04  -0.577341E+04   0.105209E+08   0.167006E+08   0.167531E+08   0.167006E+08  -0.386878E+00   0.829796E+07   0.829791E+07   0.236256E+01
   0.687306E-02   0.167153E+08   0.167098E+08  -0.420257E+04  -0.609438E+04   0.104457E+08   0.166615E+08   0.167144E+08   0.166615E+08  -0.385973E+00   0.827865E+07   0.827860E+07   0.238149E+01
   0.694985E-02   0.166762E+08   0.166706E+08  -0.479722E+04  -0.654594E+04   0.103704E+08   0.166221E+08   0.166753E+08   0.166221E+08  -0.385061E+00   0.825915E+07   0.825910E+07   0.240052E+01
   0.702750E-02   0.166368E+08   0.166311E+08  -0.553552E+04  -0.682044E+04   0.102951E+08   0.165824E+08   0.166359E+08   0.165824E+08  -0.384141E+00   0.823949E+07   0.823944E+07   0.241966E+01
   0.710602E-02   0.165970E+08   0.165912E+08  -0.599310E+04  -0.671236E+04   0.102196E+08   0.165423E+08   0.165961E+08   0.165423E+08  -0.383212E+00   0.821965E+07   0.821960E+07   0.243892E+01
   0.718542E-02   0.165569E+08   0.165509E+08  -0.628659E+04  -0.623675E+04   0.101441E+08   0.165019E+08   0.165559E+08   0.165019E+08  -0.382275E+00   0.819962E+07   0.819957E+07   0.245828E+01
   0.726570E-02   0.165164E+08   0.165103E+08  -0.565325E+04  -0.562304E+04   0.100685E+08   0.164611E+08   0.165154E+08   0.164611E+08  -0.381330E+00   0.817943E+07   0.817937E+07   0.247775E+01
   0.734688E-02   0.164756E+08   0.164694E+08  -0.500220E+04  -0.518104E+04   0.999292E+07   0.164199E+08   0.164745E+08   0.164199E+08  -0.380376E+00   0.815905E+07   0.815900E+07   0.249732E+01
   0.742897E-02   0.164343E+08   0.164280E+08  -0.465918E+04  -0.511365E+04   0.991722E+07   0.163784E+08   0.164333E+08   0.163784E+08  -0.379414E+00   0.813850E+07   0.813844E+07   0.251700E+01
   0.751197E-02   0.163928E+08   0.163863E+08  -0.474242E+04  -0.538985E+04   0.984146E+07   0.163365E+08   0.163917E+08   0.163365E+08  -0.378444E+00   0.811777E+07   0.811771E+07   0.253679E+01
   0.759591E-02   0.163508E+08   0.163442E+08  -0.508207E+04  -0.576178E+04   0.976562E+07   0.162943E+08   0.163498E+08   0.162943E+08  -0.377465E+00   0.809685E+07   0.809679E+07   0.255667E+01
   0.768078E-02   0.163085E+08   0.163018E+08  -0.532832E+04  -0.592271E+04   0.968970E+07   0.162516E+08   0.163074E+08   0.162516E+08  -0.376478E+00   0.807576E+07   0.807570E+07   0.257666E+01
   0.776659E-02   0.162658E+08   0.162590E+08  -0.518722E+04  -0.570904E+04   0.961370E+07   0.162087E+08   0.162647E+08   0.162087E+08  -0.375482E+00   0.805448E+07   0.805442E+07   0.259675E+01
   0.785337E-02   0.162228E+08   0.162158E+08  -0.463038E+04  -0.521206E+04   0.953762E+07   0.161653E+08   0.162217E+08   0.161653E+08  -0.374478E+00   0.803302E+07   0.803295E+07   0.261694E+01
   0.794112E-02   0.161794E+08   0.161722E+08  -0.392912E+04  -0.471785E+04   0.946145E+07   0.161216E+08   0.161782E+08   0.161216E+08  -0.373465E+00   0.801137E+07   0.801131E+07   0.263722E+01
   0.802984E-02   0.161356E+08   0.161283E+08  -0.347570E+04  -0.450816E+04   0.938519E+07   0.160775E+08   0.161344E+08   0.160775E+08  -0.372444E+00   0.798954E+07   0.798948E+07   0.265760E+01
   0.811956E-02   0.160914E+08   0.160840E+08  -0.350607E+04  -0.465820E+04   0.930885E+07   0.160330E+08   0.160902E+08   0.160330E+08  -0.371414E+00   0.796752E+07   0.796746E+07   0.267808E+01
   0.821028E-02   0.160469E+08   0.160393E+08  -0.392275E+04  -0.497957E+04   0.923243E+07   0.159882E+08   0.160456E+08   0.159882E+08  -0.370375E+00   0.794532E+07   0.794525E+07   0.269865E+01
   0.830201E-02   0.160019E+08   0.159942E+08  -0.435963E+04  -0.515856E+04   0.915594E+07   0.159430E+08   0.160007E+08   0.159430E+08  -0.369328E+00   0.792293E+07   0.792286E+07   0.271930E+01
   0.839477E-02   0.159566E+08   0.159487E+08  -0.445692E+04  -0.499449E+04   0.907939E+07   0.158974E+08   0.159553E+08   0.158974E+08  -0.368271E+00   0.790035E+07   0.790028E+07   0.274005E+01
   0.848857E-02   0.159109E+08   0.159029E+08  -0.414505E+04  -0.455714E+04   0.900278E+07   0.158514E+08   0.159096E+08   0.158514E+08  -0.367206E+00   0.787758E+07   0.787751E+07   0.276089E+01
   0.858341E-02   0.158649E+08   0.158566E+08  -0.370878E+04  -0.413372E+04   0.892613E+07   0.158050E+08   0.158635E+08   0.158050E+08  -0.366132E+00   0.785462E+07   0.785455E+07   0.278180E+01
   0.867932E-02   0.158184E+08   0.158100E+08  -0.355966E+04  -0.399761E+04   0.884946E+07   0.157583E+08   0.158170E+08   0.157583E+08  -0.365049E+00   0.783146E+07   0.783139E+07   0.280280E+01
   0.877629E-02   0.157715E+08   0.157630E+08  -0.388260E+04  -0.418175E+04   0.877277E+07   0.157112E+08   0.157702E+08   0.157112E+08  -0.363957E+00   0.780812E+07   0.780805E+07   0.282388E+01
   0.887435E-02   0.157243E+08   0.157156E+08  -0.444823E+04  -0.444872E+04   0.869608E+07   0.156636E+08   0.157229E+08   0.156636E+08  -0.362856E+00   0.778459E+07   0.778451E+07   0.284504E+01
   0.897350E-02   0.156767E+08   0.156678E+08  -0.477162E+04  -0.449346E+04   0.861940E+07   0.156157E+08   0.156752E+08   0.156157E+08  -0.361746E+00   0.776086E+07   0.776078E+07   0.286627E+01
   0.907376E-02   0.156286E+08   0.156195E+08  -0.451241E+04  -0.421147E+04   0.854274E+07   0.155674E+08   0.156272E+08   0.155674E+08  -0.360628E+00   0.773693E+07   0.773685E+07   0.288757E+01
   0.917515E-02   0.155802E+08   0.155709E+08  -0.378345E+04  -0.379426E+04   0.846612E+07   0.155187E+08   0.155787E+08   0.155187E+08  -0.359499E+00   0.771281E+07   0.771273E+07   0.290894E+01
   0.927766E-02   0.155314E+08   0.155219E+08  -0.308167E+04  -0.355596E+04   0.838955E+07   0.154696E+08   0.155298E+08   0.154696E+08  -0.358362E+00   0.768849E+07   0.768841E+07   0.293038E+01
   0.938132E-02   0.154821E+08   0.154725E+08  -0.287275E+04  -0.364014E+04   0.831303E+07   0.154202E+08   0.154806E+08   0.154202E+08  -0.357216E+00   0.766398E+07   0.766390E+07   0.295188E+01
   0.948614E-02   0.154325E+08   0.154227E+08  -0.318683E+04  -0.388153E+04   0.823657E+07   0.153703E+08   0.154309E+08   0.153703E+08  -0.356060E+00   0.763927E+07   0.763918E+07   0.297344E+01
   0.959213E-02   0.153825E+08   0.153725E+08  -0.360366E+04  -0.396498E+04   0.816018E+07   0.153200E+08   0.153809E+08   0.153200E+08  -0.354896E+00   0.761436E+07   0.761427E+07   0.299506E+01
   0.969930E-02   0.153321E+08   0.153218E+08  -0.366020E+04  -0.373781E+04   0.808387E+07   0.152693E+08   0.153304E+08   0.152693E+08  -0.353721E+00   0.758925E+07   0.758916E+07   0.301673E+01
