#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.927766E-02   0.349267E+06   0.343503E+06   0.190191E+05   0.166107E+05   0.136694E+06   0.343081E+06   0.348507E+06   0.343216E+06  -0.497794E+00   0.343965E+06   0.343171E+06   0.120580E+03
   0.938132E-02   0.348401E+06   0.342519E+06   0.182043E+05   0.158875E+05   0.135169E+06   0.342182E+06   0.347625E+06   0.342312E+06  -0.496474E+00   0.343068E+06   0.342258E+06   0.121519E+03
   0.948614E-02   0.347526E+06   0.341523E+06   0.173740E+05   0.151803E+05   0.133658E+06   0.341275E+06   0.346734E+06   0.341399E+06  -0.495143E+00   0.342162E+06   0.341337E+06   0.122462E+03
   0.959213E-02   0.346642E+06   0.340517E+06   0.165351E+05   0.144943E+05   0.132160E+06   0.340360E+06   0.345834E+06   0.340478E+06  -0.493800E+00   0.341248E+06   0.340408E+06   0.123408E+03
   0.969930E-02   0.345750E+06   0.339500E+06   0.156947E+05   0.138343E+05   0.130673E+06   0.339436E+06   0.344925E+06   0.339548E+06  -0.492444E+00   0.340326E+06   0.339470E+06   0.124357E+03
   0.980767E-02   0.344849E+06   0.338472E+06   0.148599E+05   0.132051E+05   0.129198E+06   0.338504E+06   0.344008E+06   0.338610E+06  -0.491077E+00   0.339396E+06   0.338523E+06   0.125309E+03
   0.991725E-02   0.343939E+06   0.337433E+06   0.140380E+05   0.126110E+05   0.127732E+06   0.337564E+06   0.343081E+06   0.337664E+06  -0.489697E+00   0.338457E+06   0.337569E+06   0.126264E+03
   0.100281E-01   0.343021E+06   0.336383E+06   0.132363E+05   0.120556E+05   0.126277E+06   0.336615E+06   0.342145E+06   0.336709E+06  -0.488305E+00   0.337511E+06   0.336605E+06   0.127221E+03
   0.101401E-01   0.342094E+06   0.335322E+06   0.124616E+05   0.115420E+05   0.124830E+06   0.335657E+06   0.341201E+06   0.335746E+06  -0.486900E+00   0.336556E+06   0.335633E+06   0.128181E+03
   0.102534E-01   0.341158E+06   0.334249E+06   0.117209E+05   0.110729E+05   0.123391E+06   0.334691E+06   0.340247E+06   0.334774E+06  -0.485483E+00   0.335593E+06   0.334653E+06   0.129143E+03
