#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    94    0.27531E+04   -0.22352E+02    0.49232E-05   -0.22352E+02    0.84044E+00   -0.17086E-07    0.49232E-05   -0.17086E-07    0.14614E-10
    95    0.27856E+04   -0.23110E+02    0.48195E-05   -0.23110E+02    0.85883E+00   -0.16929E-07    0.48195E-05   -0.16929E-07    0.14235E-10
    96    0.28180E+04   -0.23872E+02    0.47188E-05   -0.23872E+02    0.87710E+00   -0.16773E-07    0.47188E-05   -0.16773E-07    0.13869E-10
    97    0.28510E+04   -0.24636E+02    0.46210E-05   -0.24636E+02    0.89523E+00   -0.16616E-07    0.46210E-05   -0.16616E-07    0.13515E-10
    98    0.28842E+04   -0.25401E+02    0.45260E-05   -0.25401E+02    0.91320E+00   -0.16460E-07    0.45260E-05   -0.16460E-07    0.13172E-10
    99    0.29175E+04   -0.26168E+02    0.44337E-05   -0.26168E+02    0.93098E+00   -0.16304E-07    0.44337E-05   -0.16304E-07    0.12840E-10
   100    0.29511E+04   -0.26935E+02    0.43440E-05   -0.26935E+02    0.94857E+00   -0.16148E-07    0.43440E-05   -0.16148E-07    0.12519E-10
   101    0.29850E+04   -0.27703E+02    0.42568E-05   -0.27703E+02    0.96601E+00   -0.15992E-07    0.42568E-05   -0.15992E-07    0.12209E-10
   102    0.30193E+04   -0.28471E+02    0.41721E-05   -0.28471E+02    0.98316E+00   -0.15837E-07    0.41721E-05   -0.15837E-07    0.11908E-10
   103    0.30536E+04   -0.29238E+02    0.40898E-05   -0.29238E+02    0.10001E+01   -0.15681E-07    0.40898E-05   -0.15681E-07    0.11617E-10
   104    0.30882E+04   -0.30002E+02    0.40098E-05   -0.30002E+02    0.10168E+01   -0.15526E-07    0.40098E-05   -0.15526E-07    0.11335E-10
   105    0.31230E+04   -0.30764E+02    0.39320E-05   -0.30764E+02    0.10332E+01   -0.15372E-07    0.39320E-05   -0.15372E-07    0.11062E-10
   106    0.31580E+04   -0.31524E+02    0.38563E-05   -0.31524E+02    0.10494E+01   -0.15217E-07    0.38563E-05   -0.15217E-07    0.10798E-10
   107    0.31929E+04   -0.32279E+02    0.37828E-05   -0.32279E+02    0.10651E+01   -0.15063E-07    0.37828E-05   -0.15063E-07    0.10543E-10
   108    0.32283E+04   -0.33031E+02    0.37112E-05   -0.33031E+02    0.10806E+01   -0.14909E-07    0.37112E-05   -0.14909E-07    0.10295E-10
   109    0.32638E+04   -0.33777E+02    0.36416E-05   -0.33777E+02    0.10957E+01   -0.14755E-07    0.36416E-05   -0.14755E-07    0.10055E-10
   110    0.32994E+04   -0.34517E+02    0.35738E-05   -0.34517E+02    0.11103E+01   -0.14602E-07    0.35738E-05   -0.14602E-07    0.98227E-11
   111    0.33352E+04   -0.35251E+02    0.35078E-05   -0.35251E+02    0.11247E+01   -0.14449E-07    0.35078E-05   -0.14449E-07    0.95973E-11
   112    0.33712E+04   -0.35979E+02    0.34434E-05   -0.35979E+02    0.11386E+01   -0.14296E-07    0.34434E-05   -0.14296E-07    0.93785E-11
   113    0.34074E+04   -0.36699E+02    0.33807E-05   -0.36699E+02    0.11521E+01   -0.14144E-07    0.33807E-05   -0.14144E-07    0.91662E-11
   114    0.34437E+04   -0.37410E+02    0.33196E-05   -0.37410E+02    0.11652E+01   -0.13992E-07    0.33196E-05   -0.13992E-07    0.89600E-11
   115    0.34802E+04   -0.38113E+02    0.32599E-05   -0.38113E+02    0.11779E+01   -0.13840E-07    0.32599E-05   -0.13840E-07    0.87595E-11
   116    0.35168E+04   -0.38806E+02    0.32017E-05   -0.38806E+02    0.11900E+01   -0.13689E-07    0.32017E-05   -0.13689E-07    0.85646E-11
   117    0.35537E+04   -0.39488E+02    0.31449E-05   -0.39488E+02    0.12017E+01   -0.13538E-07    0.31449E-05   -0.13538E-07    0.83751E-11
   118    0.35907E+04   -0.40160E+02    0.30894E-05   -0.40160E+02    0.12130E+01   -0.13387E-07    0.30894E-05   -0.13387E-07    0.81910E-11
   119    0.36278E+04   -0.40819E+02    0.30353E-05   -0.40819E+02    0.12238E+01   -0.13237E-07    0.30353E-05   -0.13237E-07    0.80120E-11
   120    0.36650E+04   -0.41466E+02    0.29825E-05   -0.41466E+02    0.12339E+01   -0.13087E-07    0.29825E-05   -0.13087E-07    0.78380E-11
   121    0.37023E+04   -0.42101E+02    0.29309E-05   -0.42101E+02    0.12437E+01   -0.12937E-07    0.29309E-05   -0.12937E-07    0.76689E-11
   122    0.37396E+04   -0.42722E+02    0.28805E-05   -0.42722E+02    0.12529E+01   -0.12788E-07    0.28805E-05   -0.12788E-07    0.75045E-11
   123    0.37770E+04   -0.43329E+02    0.28314E-05   -0.43329E+02    0.12615E+01   -0.12639E-07    0.28314E-05   -0.12639E-07    0.73446E-11
   124    0.38145E+04   -0.43919E+02    0.27834E-05   -0.43919E+02    0.12696E+01   -0.12490E-07    0.27834E-05   -0.12490E-07    0.71893E-11
   125    0.38519E+04   -0.44495E+02    0.27365E-05   -0.44495E+02    0.12771E+01   -0.12342E-07    0.27365E-05   -0.12342E-07    0.70381E-11
   126    0.38895E+04   -0.45055E+02    0.26907E-05   -0.45055E+02    0.12841E+01   -0.12194E-07    0.26907E-05   -0.12194E-07    0.68912E-11
   127    0.39270E+04   -0.45598E+02    0.26459E-05   -0.45598E+02    0.12904E+01   -0.12047E-07    0.26459E-05   -0.12047E-07    0.67482E-11
   128    0.39646E+04   -0.46124E+02    0.26021E-05   -0.46124E+02    0.12963E+01   -0.11900E-07    0.26021E-05   -0.11900E-07    0.66091E-11
   129    0.40022E+04   -0.46632E+02    0.25593E-05   -0.46632E+02    0.13015E+01   -0.11754E-07    0.25593E-05   -0.11754E-07    0.64737E-11
   130    0.40398E+04   -0.47121E+02    0.25175E-05   -0.47121E+02    0.13060E+01   -0.11607E-07    0.25175E-05   -0.11607E-07    0.63418E-11
   131    0.40774E+04   -0.47591E+02    0.24765E-05   -0.47591E+02    0.13101E+01   -0.11462E-07    0.24765E-05   -0.11462E-07    0.62134E-11
   132    0.41150E+04   -0.48041E+02    0.24365E-05   -0.48041E+02    0.13134E+01   -0.11316E-07    0.24365E-05   -0.11316E-07    0.60882E-11
   133    0.41525E+04   -0.48472E+02    0.23972E-05   -0.48472E+02    0.13162E+01   -0.11171E-07    0.23972E-05   -0.11171E-07    0.59662E-11
   134    0.41901E+04   -0.48880E+02    0.23589E-05   -0.48880E+02    0.13185E+01   -0.11027E-07    0.23589E-05   -0.11027E-07    0.58474E-11
   135    0.42276E+04   -0.49268E+02    0.23213E-05   -0.49268E+02    0.13200E+01   -0.10883E-07    0.23213E-05   -0.10883E-07    0.57315E-11
   136    0.42650E+04   -0.49632E+02    0.22845E-05   -0.49632E+02    0.13209E+01   -0.10739E-07    0.22845E-05   -0.10739E-07    0.56186E-11
   137    0.43023E+04   -0.49974E+02    0.22485E-05   -0.49974E+02    0.13213E+01   -0.10596E-07    0.22485E-05   -0.10596E-07    0.55086E-11
   138    0.43395E+04   -0.50292E+02    0.22132E-05   -0.50292E+02    0.13210E+01   -0.10453E-07    0.22132E-05   -0.10453E-07    0.54014E-11
   139    0.43765E+04   -0.50587E+02    0.21787E-05   -0.50587E+02    0.13202E+01   -0.10311E-07    0.21787E-05   -0.10311E-07    0.52969E-11
   140    0.44136E+04   -0.50858E+02    0.21449E-05   -0.50858E+02    0.13187E+01   -0.10169E-07    0.21449E-05   -0.10169E-07    0.51951E-11
   141    0.44504E+04   -0.51104E+02    0.21117E-05   -0.51104E+02    0.13165E+01   -0.10028E-07    0.21117E-05   -0.10028E-07    0.50958E-11
   142    0.44872E+04   -0.51324E+02    0.20793E-05   -0.51324E+02    0.13138E+01   -0.98870E-08    0.20793E-05   -0.98870E-08    0.49990E-11
   143    0.45239E+04   -0.51520E+02    0.20475E-05   -0.51520E+02    0.13105E+01   -0.97467E-08    0.20475E-05   -0.97467E-08    0.49045E-11
   144    0.45603E+04   -0.51690E+02    0.20164E-05   -0.51690E+02    0.13066E+01   -0.96068E-08    0.20164E-05   -0.96068E-08    0.48125E-11
   145    0.45966E+04   -0.51834E+02    0.19859E-05   -0.51834E+02    0.13022E+01   -0.94675E-08    0.19859E-05   -0.94675E-08    0.47226E-11
   146    0.46329E+04   -0.51951E+02    0.19560E-05   -0.51951E+02    0.12971E+01   -0.93287E-08    0.19560E-05   -0.93287E-08    0.46349E-11
   147    0.46688E+04   -0.52040E+02    0.19267E-05   -0.52040E+02    0.12915E+01   -0.91904E-08    0.19267E-05   -0.91904E-08    0.45493E-11
