#    L    TT             EE             BB             TE             PP             TP             EP          
   211    0.62392E+04    0.82270E+00    0.00000E+00    0.37130E+01    0.60423E-07    0.16204E-03   -0.32880E-06
   212    0.62429E+04    0.83820E+00    0.00000E+00    0.54236E+01    0.60147E-07    0.16076E-03   -0.31149E-06
   213    0.62460E+04    0.85527E+00    0.00000E+00    0.71512E+01    0.59872E-07    0.15949E-03   -0.29415E-06
   214    0.62483E+04    0.87391E+00    0.00000E+00    0.88941E+01    0.59600E-07    0.15823E-03   -0.27679E-06
   215    0.62499E+04    0.89432E+00    0.00000E+00    0.10652E+02    0.59330E-07    0.15698E-03   -0.25943E-06
   216    0.62507E+04    0.91631E+00    0.00000E+00    0.12424E+02    0.59061E-07    0.15575E-03   -0.24205E-06
   217    0.62510E+04    0.94006E+00    0.00000E+00    0.14210E+02    0.58795E-07    0.15451E-03   -0.22466E-06
   218    0.62504E+04    0.96556E+00    0.00000E+00    0.16008E+02    0.58530E-07    0.15329E-03   -0.20727E-06
   219    0.62492E+04    0.99282E+00    0.00000E+00    0.17820E+02    0.58268E-07    0.15208E-03   -0.18987E-06
   220    0.62473E+04    0.10220E+01    0.00000E+00    0.19641E+02    0.58007E-07    0.15088E-03   -0.17247E-06
   221    0.62447E+04    0.10530E+01    0.00000E+00    0.21474E+02    0.57748E-07    0.14968E-03   -0.15507E-06
   222    0.62414E+04    0.10860E+01    0.00000E+00    0.23316E+02    0.57491E-07    0.14850E-03   -0.13767E-06
   223    0.62373E+04    0.11209E+01    0.00000E+00    0.25168E+02    0.57236E-07    0.14732E-03   -0.12028E-06
   224    0.62326E+04    0.11577E+01    0.00000E+00    0.27027E+02    0.56982E-07    0.14616E-03   -0.10290E-06
   225    0.62272E+04    0.11966E+01    0.00000E+00    0.28894E+02    0.56731E-07    0.14500E-03   -0.85526E-07
   226    0.62211E+04    0.12376E+01    0.00000E+00    0.30768E+02    0.56481E-07    0.14385E-03   -0.68164E-07
   227    0.62143E+04    0.12807E+01    0.00000E+00    0.32647E+02    0.56233E-07    0.14271E-03   -0.50817E-07
   228    0.62069E+04    0.13258E+01    0.00000E+00    0.34532E+02    0.55987E-07    0.14157E-03   -0.33487E-07
   229    0.61987E+04    0.13731E+01    0.00000E+00    0.36420E+02    0.55742E-07    0.14045E-03   -0.16175E-07
   230    0.61899E+04    0.14225E+01    0.00000E+00    0.38312E+02    0.55500E-07    0.13933E-03    0.11154E-08
