#           k/h    P           
    0.34801E+02    0.10897E-03
    0.35504E+02    0.10325E-03
    0.36222E+02    0.97830E-04
    0.36953E+02    0.92690E-04
    0.37700E+02    0.87817E-04
    0.38462E+02    0.83199E-04
    0.39239E+02    0.78822E-04
    0.40031E+02    0.74673E-04
    0.40840E+02    0.70741E-04
    0.41665E+02    0.67015E-04
    0.42507E+02    0.63483E-04
    0.43365E+02    0.60136E-04
    0.44241E+02    0.56964E-04
    0.45135E+02    0.53957E-04
    0.46047E+02    0.51109E-04
    0.46977E+02    0.48409E-04
    0.47926E+02    0.45851E-04
    0.48894E+02    0.43427E-04
    0.49882E+02    0.41130E-04
    0.50890E+02    0.38954E-04
    0.51918E+02    0.36892E-04
    0.52966E+02    0.34938E-04
    0.54036E+02    0.33087E-04
    0.55128E+02    0.31333E-04
    0.56242E+02    0.29671E-04
    0.57378E+02    0.28097E-04
    0.58537E+02    0.26606E-04
    0.59720E+02    0.25193E-04
    0.60926E+02    0.23854E-04
    0.62157E+02    0.22586E-04
    0.63412E+02    0.21385E-04
    0.64693E+02    0.20247E-04
    0.66000E+02    0.19170E-04
    0.67334E+02    0.18149E-04
    0.68694E+02    0.17182E-04
    0.70082E+02    0.16266E-04
    0.71497E+02    0.15398E-04
    0.72942E+02    0.14577E-04
    0.74415E+02    0.13799E-04
    0.75918E+02    0.13062E-04
    0.77452E+02    0.12363E-04
    0.79017E+02    0.11702E-04
    0.80613E+02    0.11076E-04
    0.82241E+02    0.10484E-04
    0.83903E+02    0.99221E-05
    0.85598E+02    0.93905E-05
    0.87327E+02    0.88870E-05
    0.89091E+02    0.84103E-05
    0.90891E+02    0.79589E-05
    0.92727E+02    0.75315E-05
    0.94600E+02    0.71268E-05
    0.96511E+02    0.67436E-05
    0.98461E+02    0.63808E-05
    0.10045E+03    0.60373E-05
    0.10248E+03    0.57121E-05
    0.10455E+03    0.54042E-05
    0.10666E+03    0.51127E-05
    0.10882E+03    0.48367E-05
    0.11101E+03    0.45755E-05
    0.11326E+03    0.43282E-05
    0.11554E+03    0.40941E-05
    0.11788E+03    0.38726E-05
    0.12026E+03    0.36628E-05
    0.12269E+03    0.34643E-05
    0.12517E+03    0.32764E-05
    0.12770E+03    0.30985E-05
    0.13028E+03    0.29302E-05
    0.13291E+03    0.27709E-05
    0.13559E+03    0.26201E-05
    0.13833E+03    0.24774E-05
    0.14113E+03    0.23423E-05
    0.14398E+03    0.22145E-05
    0.14689E+03    0.20936E-05
    0.14985E+03    0.19792E-05
    0.15288E+03    0.18709E-05
    0.15597E+03    0.17684E-05
    0.15912E+03    0.16715E-05
    0.16233E+03    0.15798E-05
    0.16561E+03    0.14930E-05
    0.16896E+03    0.14109E-05
    0.17237E+03    0.13332E-05
    0.17585E+03    0.12597E-05
    0.17941E+03    0.11902E-05
    0.18303E+03    0.11245E-05
    0.18673E+03    0.10623E-05
    0.19050E+03    0.10035E-05
    0.19435E+03    0.94782E-06
    0.19828E+03    0.89520E-06
    0.20228E+03    0.84543E-06
    0.20637E+03    0.79837E-06
    0.21054E+03    0.75386E-06
    0.21479E+03    0.71178E-06
    0.21913E+03    0.67199E-06
    0.22356E+03    0.63437E-06
    0.22807E+03    0.59880E-06
