#           k/h    P           
    0.29219E+00    0.43113E+00
    0.29810E+00    0.41263E+00
    0.30412E+00    0.39294E+00
    0.31026E+00    0.37343E+00
    0.31653E+00    0.35546E+00
    0.32292E+00    0.33981E+00
    0.32945E+00    0.32643E+00
    0.33610E+00    0.31456E+00
    0.34289E+00    0.30316E+00
    0.34982E+00    0.29138E+00
    0.35689E+00    0.27894E+00
    0.36409E+00    0.26618E+00
    0.37145E+00    0.25378E+00
    0.37895E+00    0.24234E+00
    0.38661E+00    0.23207E+00
    0.39442E+00    0.22272E+00
    0.40239E+00    0.21382E+00
    0.41052E+00    0.20494E+00
    0.41881E+00    0.19598E+00
    0.42727E+00    0.18716E+00
    0.43590E+00    0.17877E+00
    0.44471E+00    0.17098E+00
    0.45369E+00    0.16373E+00
    0.46286E+00    0.15681E+00
    0.47221E+00    0.15005E+00
    0.48174E+00    0.14342E+00
    0.49148E+00    0.13702E+00
    0.50141E+00    0.13095E+00
    0.51153E+00    0.12523E+00
    0.52187E+00    0.11978E+00
    0.53241E+00    0.11452E+00
    0.54317E+00    0.10943E+00
    0.55414E+00    0.10454E+00
    0.56533E+00    0.99891E-01
    0.57675E+00    0.95464E-01
    0.58840E+00    0.91223E-01
    0.60029E+00    0.87151E-01
    0.61242E+00    0.83244E-01
    0.62479E+00    0.79503E-01
    0.63741E+00    0.75926E-01
    0.65029E+00    0.72509E-01
    0.66342E+00    0.69242E-01
    0.67683E+00    0.66118E-01
    0.69050E+00    0.63128E-01
    0.70445E+00    0.60269E-01
    0.71868E+00    0.57533E-01
    0.73320E+00    0.54917E-01
    0.74801E+00    0.52416E-01
    0.76312E+00    0.50025E-01
    0.77854E+00    0.47739E-01
    0.79426E+00    0.45554E-01
    0.81031E+00    0.43465E-01
    0.82668E+00    0.41469E-01
    0.84338E+00    0.39562E-01
    0.86041E+00    0.37739E-01
    0.87780E+00    0.35998E-01
    0.89553E+00    0.34335E-01
    0.91362E+00    0.32747E-01
    0.93208E+00    0.31229E-01
    0.95091E+00    0.29780E-01
    0.97011E+00    0.28396E-01
    0.98971E+00    0.27075E-01
    0.10097E+01    0.25813E-01
    0.10301E+01    0.24608E-01
    0.10509E+01    0.23458E-01
    0.10721E+01    0.22360E-01
    0.10938E+01    0.21312E-01
    0.11159E+01    0.20312E-01
    0.11384E+01    0.19357E-01
    0.11614E+01    0.18446E-01
    0.11849E+01    0.17577E-01
    0.12088E+01    0.16748E-01
    0.12333E+01    0.15957E-01
    0.12582E+01    0.15202E-01
    0.12836E+01    0.14482E-01
    0.13095E+01    0.13795E-01
    0.13360E+01    0.13140E-01
    0.13630E+01    0.12515E-01
    0.13905E+01    0.11920E-01
    0.14186E+01    0.11352E-01
    0.14472E+01    0.10810E-01
    0.14765E+01    0.10294E-01
    0.15063E+01    0.98016E-02
    0.15367E+01    0.93323E-02
    0.15678E+01    0.88850E-02
    0.15994E+01    0.84587E-02
    0.16318E+01    0.80524E-02
    0.16647E+01    0.76651E-02
    0.16984E+01    0.72961E-02
    0.17327E+01    0.69444E-02
    0.17677E+01    0.66094E-02
    0.18034E+01    0.62901E-02
    0.18398E+01    0.59860E-02
    0.18770E+01    0.56962E-02
    0.19149E+01    0.54202E-02
    0.19536E+01    0.51574E-02
    0.19930E+01    0.49070E-02
    0.20333E+01    0.46685E-02
    0.20744E+01    0.44414E-02
    0.21163E+01    0.42251E-02
    0.21590E+01    0.40191E-02
    0.22026E+01    0.38229E-02
    0.22471E+01    0.36362E-02
    0.22925E+01    0.34584E-02
    0.23388E+01    0.32892E-02
    0.23861E+01    0.31281E-02
    0.24343E+01    0.29747E-02
    0.24835E+01    0.28288E-02
    0.25336E+01    0.26898E-02
    0.25848E+01    0.25576E-02
    0.26370E+01    0.24317E-02
    0.26903E+01    0.23120E-02
    0.27447E+01    0.21980E-02
    0.28001E+01    0.20896E-02
    0.28567E+01    0.19864E-02
    0.29144E+01    0.18882E-02
    0.29733E+01    0.17948E-02
    0.30333E+01    0.17060E-02
    0.30946E+01    0.16215E-02
    0.31571E+01    0.15411E-02
    0.32209E+01    0.14646E-02
    0.32860E+01    0.13918E-02
    0.33523E+01    0.13226E-02
    0.34201E+01    0.12568E-02
    0.34892E+01    0.11942E-02
    0.35596E+01    0.11347E-02
    0.36316E+01    0.10782E-02
    0.37049E+01    0.10243E-02
    0.37798E+01    0.97319E-03
    0.38561E+01    0.92454E-03
    0.39340E+01    0.87830E-03
    0.40135E+01    0.83433E-03
    0.40946E+01    0.79253E-03
    0.41773E+01    0.75280E-03
    0.42617E+01    0.71503E-03
    0.43478E+01    0.67914E-03
    0.44356E+01    0.64502E-03
    0.45252E+01    0.61259E-03
    0.46166E+01    0.58177E-03
    0.47099E+01    0.55247E-03
    0.48050E+01    0.52464E-03
    0.49021E+01    0.49818E-03
    0.50011E+01    0.47305E-03
    0.51021E+01    0.44916E-03
    0.52052E+01    0.42647E-03
    0.53104E+01    0.40491E-03
    0.54176E+01    0.38443E-03
    0.55271E+01    0.36497E-03
    0.56387E+01    0.34648E-03
    0.57526E+01    0.32892E-03
    0.58689E+01    0.31223E-03
    0.59874E+01    0.29639E-03
    0.61084E+01    0.28133E-03
    0.62318E+01    0.26704E-03
    0.63577E+01    0.25346E-03
    0.64861E+01    0.24056E-03
    0.66171E+01    0.22831E-03
    0.67508E+01    0.21668E-03
    0.68872E+01    0.20564E-03
    0.70263E+01    0.19515E-03
    0.71682E+01    0.18519E-03
    0.73130E+01    0.17573E-03
    0.74608E+01    0.16675E-03
    0.76115E+01    0.15823E-03
    0.77653E+01    0.15013E-03
    0.79221E+01    0.14245E-03
    0.80822E+01    0.13515E-03
    0.82454E+01    0.12823E-03
    0.84120E+01    0.12165E-03
    0.85819E+01    0.11541E-03
    0.87553E+01    0.10949E-03
    0.89322E+01    0.10386E-03
    0.91126E+01    0.98527E-04
    0.92967E+01    0.93461E-04
    0.94845E+01    0.88653E-04
    0.96761E+01    0.84090E-04
    0.98716E+01    0.79760E-04
    0.10071E+02    0.75650E-04
    0.10274E+02    0.71751E-04
    0.10482E+02    0.68050E-04
    0.10694E+02    0.64538E-04
    0.10910E+02    0.61206E-04
    0.11130E+02    0.58044E-04
    0.11355E+02    0.55044E-04
    0.11584E+02    0.52198E-04
    0.11818E+02    0.49497E-04
    0.12057E+02    0.46935E-04
    0.12301E+02    0.44505E-04
    0.12549E+02    0.42199E-04
    0.12803E+02    0.40011E-04
    0.13061E+02    0.37936E-04
    0.13325E+02    0.35968E-04
    0.13594E+02    0.34100E-04
    0.13869E+02    0.32329E-04
